Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,23913,2,2,110,222,55,55,55.0,0.0,111,111,111.0,0.0,13883.66161,167.2730314,7971.0,13762.02808,23862,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,40,83.6365157,83.6365157,55,111,77.4,30.67246322,940.8,0,0,0,0,0,0,0,0,1,96.75,55.0,111.0,64,0,0,0,0,0,0,2,110,2,222,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
56078,59,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,33898.30508,59.0,0.0,59,59,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,16949.15254,16949.15254,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,122,33304,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
64084,88,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22727.27273,88.0,0.0,88,88,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,11363.63636,11363.63636,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,122,33304,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30389,1,1,55,110,55,55,55.0,0.0,110,110,110.0,0.0,5429.596235,65.8132877,30389.0,0.0,30389,30389,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,32.90664385,32.90664385,55,110,73.33333333,31.75426481,1008.333333,0,0,0,0,0,0,0,0,1,110.0,55.0,110.0,20,0,0,0,0,0,0,1,55,1,110,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,105112,18,17,699,21214,453,0,38.83333333,109.7533331,2796,0,1247.882353,799.8972498,208472.867,332.9781566,3091.529412,7221.363144,22198,1,105112,6183.058824,9814.919495,23717,3,82303,5143.9375,10588.35704,33522,3,0,0,0,0,588,552,171.2459091,161.7322475,0,2796,608.6944444,821.2107375,674387.0754,0,0,0,1,0,0,0,0,0,626.0857143,38.83333333,1247.882353,588,0,0,0,0,0,0,18,699,17,21214,65535,118,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53507,83,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,24096.38554,83.0,0.0,83,83,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,12048.19277,12048.19277,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,119,16360,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,57967789,9,9,434,1770,434,0,48.22222222,144.6666667,1770,0,196.6666667,590.0,38.02111549,0.310517277,3409869.941,4787808.932,10200000,33,51200000,6400437.0,5270672.457,10200000,607,57900000,7241379.125,4608815.966,10200000,32745,0,0,0,0,296,296,0.155258639,0.155258639,0,1770,116.0,412.6871293,170310.6667,0,0,0,1,0,0,0,0,1,122.4444444,48.22222222,196.6666667,296,0,0,0,0,0,0,9,434,9,1770,29200,939,1,32,50895.6,31376.80794,107024,36757,10200000.0,29818.93681,10200000,10100000,BENIGN
7086,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,360,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50807,36,1,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,111111.1111,12.0,17.34935157,32,1,0,0.0,0.0,0,0,4,2.0,1.414213562,3,1,0,0,0,0,32,60,27777.77778,83333.33333,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,3,0,1006,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50849,236,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8474.576271,236.0,0.0,236,236,236,236.0,0.0,236,236,0,0.0,0.0,0,0,0,0,0,0,40,0,8474.576271,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,32,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
